;Messzeit;Losnummer;laufenden Z‰hler;OK/N.i.O.;Verantwortliche/r;Nummer;Durchmesser_innen;Durchmesser_auﬂen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_auﬂen
;04.05.2022 12:52:08;;0130;Fehler;;1;27,422;45,934;;4,694;0,275
;04.05.2022 12:53:11;;0131;Fehler;;1;;45,892;;4,678;0,498
;04.05.2022 12:53:49;;0132;Fehler;;1;;45,867;;4,685;0,540
;04.05.2022 12:54:39;;0133;Fehler;;1;29,378;45,871;;4,682;0,531
;04.05.2022 12:55:01;;0134;Fehler;;1;27,846;45,998;;4,688;0,247
;04.05.2022 12:55:41;;0135;Fehler;;1;27,616;45,969;;4,682;0,273
;04.05.2022 12:56:06;;0136;Fehler;;1;27,438;45,888;;4,684;0,515
;04.05.2022 12:56:40;;0137;Fehler;;1;27,482;45,934;;4,682;0,528
;04.05.2022 12:57:19;;0138;Fehler;;1;27,454;45,927;;4,687;0,352
;04.05.2022 12:57:51;;0139;Fehler;;1;27,457;45,906;;4,683;0,329
;04.05.2022 12:58:30;;0140;Fehler;;1;27,428;45,922;;4,686;0,266
;04.05.2022 12:59:36;;0141;Fehler;;1;13,270;45,912;;4,696;0,350
;04.05.2022 13:00:12;;0142;Fehler;;1;27,660;45,938;;4,693;0,542
;04.05.2022 13:00:49;;0143;Fehler;;1;27,623;45,963;;4,694;0,276
;04.05.2022 13:01:32;;0144;Fehler;;1;27,529;45,928;;4,689;0,520
;04.05.2022 13:01:53;;0145;Fehler;;1;27,466;45,951;;4,695;0,272
;04.05.2022 13:02:26;;0146;Fehler;;1;27,469;45,961;;4,694;0,302
;04.05.2022 13:03:01;;0147;Fehler;;1;27,495;45,935;;4,702;0,334
;04.05.2022 13:03:37;;0148;Fehler;;1;27,435;45,918;;4,701;0,350
;04.05.2022 13:04:08;;0149;Fehler;;1;27,429;45,992;;4,697;0,253
;04.05.2022 13:04:49;;0150;Fehler;;1;27,423;45,946;;4,697;0,314
;04.05.2022 13:05:49;;0151;Fehler;;1;13,219;45,921;;4,697;0,363
;04.05.2022 13:06:30;;0152;Fehler;;1;27,209;45,926;;4,702;0,371
;04.05.2022 13:07:04;;0153;Fehler;;1;27,440;45,875;;4,701;0,589
;04.05.2022 13:07:34;;0154;Fehler;;1;27,706;45,913;;4,698;0,364
;04.05.2022 13:08:13;;0155;Fehler;;1;27,402;45,935;;4,702;0,267
;04.05.2022 13:08:46;;0156;Fehler;;1;27,399;45,939;;4,704;0,284
;04.05.2022 13:09:24;;0157;Fehler;;1;27,403;45,941;;4,705;0,290
;04.05.2022 13:09:57;;0158;Fehler;;1;27,429;45,940;;4,703;0,282
;04.05.2022 13:10:34;;0159;Fehler;;1;27,443;45,885;;4,704;0,357
;04.05.2022 13:11:10;;0160;Fehler;;1;27,423;45,945;;4,702;0,251
;04.05.2022 13:15:55;;0161;Fehler;;1;26,705;45,952;;4,696;0,313
;04.05.2022 13:16:34;;0162;Fehler;;1;27,185;45,906;;4,696;0,267
;04.05.2022 13:17:05;;0163;Fehler;;1;27,428;45,912;;4,693;0,281
;04.05.2022 13:17:44;;0164;Fehler;;1;27,385;45,931;;4,695;0,301
;04.05.2022 13:18:18;;0165;Fehler;;1;27,451;45,935;;4,695;0,323
;04.05.2022 13:19:00;;0166;Fehler;;1;27,386;45,871;;4,691;0,326
;04.05.2022 13:19:28;;0167;Fehler;;1;27,385;45,906;;4,694;0,326
;04.05.2022 13:20:05;;0168;Fehler;;1;27,400;45,895;;4,692;0,284
;04.05.2022 13:20:38;;0169;Fehler;;1;27,412;45,932;;4,694;0,291
;04.05.2022 13:21:28;;0170;Fehler;;1;27,419;45,866;;4,690;0,357
