Charge;Nummer;Mittenrauwert;Quadratischer Mittelwert;Rautiefe;Höhe;Breite;E-Modul;Zugfestigkeit;Dehnung bei Zugfestigkeit;Maximalspannung;Bruchspannung;Maximalkraft;Dehnung bei Maximalspannung;Bruchdehnung;Anfangsfläche;Angaben zum Bruch
-;-;Ra;Rq;Rz;h;b;Et;sY;eY;sM;sB;FM;eM;eB;A0;-
-;-;-;-;-;mm;mm;MPa;MPa;%;MPa;MPa;N;%;%;mm²;-
17;206;0.110;0.145;0.855;4.05;9.66;2347.60933;66.5564361;4.11897945;66.5564361;42.0617735;2603.88745;4.11897945;59.3504109;39.123;break
17;207;0.184;0.297;1.232;4.04;9.66;2420.54164;66.3546285;4.02973318;66.3546285;42.5873544;2589.58228;4.02973318;41.2504002;39.0264;break
17;208;0.081;0.106;0.614;4.03;9.65;2336.28778;67.1297605;4.12392378;67.1297605;41.9258845;2610.64282;4.12392378;44.9752548;38.8895;break
17;209;0.095;0.122;0.702;4.04;9.65;2406.36613;67.124419;4.16700363;67.124419;41.7347677;2616.9126;4.16700363;43.5248468;38.986;break
17;210;0.140;0.179;1.020;4.02;9.63;2322.4315;;;62.94432;62.1453634;2436.73828;3.06241155;3.06641698;38.7126;break
18;217;0.104;0.123;0.670;4.03;9.66;2380.59393;67.1518792;4.10118151;67.1518792;41.246974;2614.20923;4.10118151;55.4418563;38.9298;break
18;218;0.110;0.139;0.773;4.02;9.65;2344.17431;67.0983499;4.10509634;67.0983499;42.6758605;2602.94629;4.10509634;58.0694707;38.793;break
18;219;0.179;0.231;1.192;4.05;9.66;2386.9955;66.6611802;4.04776335;66.6611802;42.996897;2607.98535;4.04776335;40.7296192;39.123;break
18;220;0.255;0.381;1.482;4.04;9.66;2440.14394;66.6435143;4.09318495;66.6435143;41.8885711;2600.85645;4.09318495;37.8491816;39.0264;break
18;221;0.117;0.149;0.822;4.04;9.65;2409.93627;66.8071476;4.12245464;66.8071476;41.3484863;2604.54346;4.12245464;39.9911787;38.986;break
18;222;0.164;0.232;1.138;4.03;9.66;2398.36173;66.8529951;4.11391449;66.8529951;41.2871198;2602.57373;4.11391449;44.301122;38.9298;break
18;223;0.074;0.094;0.585;4.03;9.67;2419.61409;66.7824762;4.11825228;66.7824762;37.9984612;2602.51978;4.11825228;35.8987107;38.9701;break
18;224;0.114;0.146;0.859;4.02;9.63;2413.02913;67.2602547;4.12026072;67.2602547;42.8725344;2603.81934;4.12026072;56.9215538;38.7126;break
18;225;0.133;0.168;0.866;4.04;9.65;2387.97974;66.6326622;4.08280039;66.6326622;42.5526914;2597.74097;4.08280039;45.3836169;38.986;break
18;226;0.114;0.147;0.885;4.02;9.61;2409.39554;66.9717456;4.09346104;66.9717456;43.2393736;2587.26587;4.09346104;42.9207048;38.6322;break
19;236;0.271;0.344;1.579;4.01;9.63;2477.21945;66.9633789;4.12160158;66.9633789;40.7964059;2585.87793;4.12160158;39.242839;38.6163;break
19;237;0.086;0.107;0.439;4.02;9.66;2453.74574;;;66.6284644;56.6903519;2587.39648;4.09024191;4.20850849;38.8332;break
19;238;0.134;0.168;0.761;4.03;9.6;2470.13536;67.5412061;4.11301231;67.5412061;43.2537164;2613.03418;4.11301231;48.4238315;38.688;break
19;239;0.162;0.209;1.267;4.04;9.68;2439.42241;66.1345709;4.03894854;66.1345709;35.3260257;2586.33789;4.03894854;22.6986662;39.1072;break
19;240;0.440;0.656;2.451;4.03;9.64;2466.14084;67.1123217;4.10066462;67.1123217;43.5719362;2607.26001;4.10066462;55.3125228;38.8492;break
19;241;0.114;0.151;1.051;4.04;9.62;2473.04051;66.6297273;4.107903;66.6297273;42.3932951;2589.55103;4.107903;43.6293105;38.8648;break
19;242;0.149;0.206;1.340;4.06;9.59;2442.05858;66.7296159;4.1412158;66.7296159;42.5003641;2598.14429;4.1412158;42.2525562;38.9354;break
19;243;0.121;0.155;0.918;4.05;9.6;2439.90712;67.0679414;4.1291256;67.0679414;42.00236;2607.60156;4.1291256;72.7858067;38.88;break
19;244;0.225;0.272;1.162;4.05;9.63;2438.59233;66.0538059;4.07380629;66.0538059;42.5591792;2576.19751;4.07380629;45.7267992;39.0015;break
