Zyklusnummer;Charge;Werkzeugtemperatur;Kühlzeit;Gewicht;Durchmesser_innen;Durchmesser_außen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_außen;Düsentemperatur
334;;;20.0;8.137;27.4;45.942;;4.691;0.252;250.0
335;;;20.0;8.132;27.455;45.924;;4.69;0.284;250.0
336;;;20.0;8.135;27.465;45.947;;4.694;0.297;250.0
337;;;20.0;8.131;27.451;45.93;;4.688;0.247;250.0
338;;;20.0;8.143;27.373;45.948;;4.698;0.321;250.0
339;;;20.0;8.148;27.451;45.938;;4.698;0.306;250.0
340;;;20.0;8.149;27.41;45.943;;4.694;0.277;250.0
341;;;20.0;8.149;27.533;45.927;;4.699;0.303;250.0
342;;;20.0;8.151;27.456;45.912;;4.697;0.274;250.0
343;;;20.0;8.149;27.448;45.921;;4.701;0.493;250.0
344;;;20.0;8.147;27.436;45.942;;4.696;0.282;250.0
345;;;20.0;8.139;27.441;45.945;;4.697;0.295;250.0
346;;;20.0;8.143;27.427;45.939;;4.697;0.274;250.0
347;;;20.0;8.148;27.45;45.95;;4.7;0.245;250.0
348;;;20.0;8.149;27.418;45.952;;4.702;0.283;250.0
349;;;20.0;8.144;27.305;45.914;;4.697;0.376;250.0
350;;;20.0;8.15;27.658;45.949;;4.699;0.262;250.0
351;;;20.0;8.147;27.433;45.901;;4.694;0.275;250.0
352;;;20.0;8.126;27.472;45.909;;4.69;0.299;250.0
353;;;20.0;8.124;27.45;45.939;;4.684;0.271;250.0
354;;;20.0;8.127;27.487;45.93;;4.69;0.266;250.0
355;;;20.0;8.125;27.478;45.932;;4.681;0.283;250.0
356;;;20.0;8.127;27.425;45.94;;4.69;0.294;250.0
357;;;20.0;8.121;27.462;45.923;;4.684;0.282;250.0
358;;;20.0;8.124;27.465;45.924;;4.691;0.292;250.0
359;;;20.0;8.121;27.471;45.914;;4.677;0.277;250.0
360;;;20.0;8.127;27.465;45.941;;4.689;0.256;250.0
361;;;20.0;8.122;27.461;45.925;;4.688;0.288;250.0
362;;;20.0;8.126;27.459;45.928;;4.683;0.262;250.0
363;;;20.0;8.12;27.495;45.91;;4.681;0.305;250.0
364;;;20.0;8.124;27.473;45.92;;4.687;0.285;250.0
365;;;20.0;8.124;27.46;45.919;;4.685;0.264;250.0
366;;;20.0;8.125;27.455;45.923;;4.688;0.302;250.0
367;;;20.0;8.135;27.471;45.933;;4.695;0.282;250.0
368;;;20.0;8.139;27.432;45.927;;4.697;0.259;250.0
369;;;20.0;8.13;27.431;45.943;;4.692;0.255;250.0
370;;;20.0;8.138;27.439;45.927;;4.698;0.282;250.0
371;;;20.0;8.136;27.356;45.942;;4.691;0.269;250.0
372;;;20.0;8.138;27.403;45.935;;4.698;0.282;250.0
373;;;20.0;8.139;27.43;45.899;;4.696;0.269;250.0
374;;;20.0;8.142;27.459;45.942;;4.698;0.274;250.0
375;;;20.0;8.135;27.36;45.941;;4.693;0.268;250.0
376;;;20.0;8.139;27.436;45.904;;4.695;0.276;250.0
377;;;20.0;8.14;27.396;45.942;;4.689;0.266;250.0
378;;;20.0;8.14;27.351;45.939;;4.695;0.265;250.0
379;;;20.0;8.139;27.422;45.918;;4.691;0.287;250.0
380;;;20.0;8.14;27.412;45.94;;4.701;0.291;250.0
381;;;20.0;8.14;27.355;45.937;;4.692;0.261;250.0
382;;;20.0;8.14;27.455;45.93;;4.695;0.271;250.0
383;;;20.0;8.14;27.588;45.899;;4.699;0.284;250.0
384;;;20.0;8.144;27.443;45.893;;4.7;0.281;250.0
385;;;20.0;8.137;27.405;45.917;;4.692;0.257;250.0
386;;;20.0;8.146;27.415;45.919;;4.699;0.355;250.0
387;;;20.0;8.141;27.445;45.915;;4.698;0.306;250.0
388;;;20.0;8.143;27.514;45.929;;4.698;0.302;250.0
389;;;20.0;8.138;27.434;45.933;;4.696;0.268;250.0
390;;;20.0;8.145;27.432;45.945;;4.695;0.4;250.0
391;;;20.0;8.144;27.439;45.927;;4.724;0.297;250.0
392;;;20.0;8.149;27.549;45.944;;4.698;0.27;250.0
393;;;20.0;8.143;27.297;45.914;;4.69;0.268;250.0
394;;;20.0;8.149;27.448;45.927;;4.698;0.282;250.0
395;;;20.0;8.145;27.391;45.932;;4.696;0.285;250.0
396;;;20.0;8.144;27.418;45.877;;4.696;0.312;250.0
397;;;20.0;8.138;27.416;45.902;;4.693;0.308;250.0
398;;;20.0;8.145;27.454;45.912;;4.697;0.328;250.0
399;;;20.0;8.139;27.46;45.907;;4.689;0.29;250.0
400;;;20.0;8.14;27.383;45.901;;4.693;0.29;250.0
401;;;20.0;8.137;27.385;45.928;;4.693;0.27;250.0
402;;;20.0;8.135;27.363;45.929;;4.69;0.27;250.0
403;;;20.0;8.139;27.414;45.924;;4.692;0.275;250.0
404;;;20.0;8.131;27.392;45.902;;4.689;0.274;250.0
405;;;20.0;8.139;26.881;45.898;;4.696;0.321;250.0
406;;;20.0;8.137;27.465;45.936;;4.693;0.292;250.0
407;;;20.0;8.131;27.451;45.927;;4.694;0.287;250.0
408;;;20.0;8.136;27.371;45.908;;4.692;0.264;250.0
409;;;20.0;8.14;27.36;45.932;;4.715;0.292;250.0
