Zyklusnummer;Charge;Düsentemperatur;Werkzeugtemperatur;Einspritzgeschwindigkeit;Umschaltpunkt;Nachdruckhöhe;Nachdruckzeit;Staudruck;Kühlzeit;Gewicht;Durchmesser_innen;Durchmesser_außen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_außen
323;;250.0;;;;;;;20.0;8.135;27.487;45.937;;4.691;0.266
324;;250.0;;;;;;;20.0;8.142;27.441;45.938;;4.696;0.274
325;;250.0;;;;;;;20.0;8.14;27.444;45.931;;4.699;0.294
326;;250.0;;;;;;;20.0;8.137;27.428;45.946;;4.694;0.238
327;;250.0;;;;;;;20.0;8.14;27.41;45.939;;4.692;0.273
328;;250.0;;;;;;;20.0;8.131;27.392;45.95;;4.69;0.249
329;;250.0;;;;;;;20.0;8.136;27.456;45.907;;4.698;0.248
330;;250.0;;;;;;;20.0;8.135;27.435;45.923;;4.696;0.251
331;;250.0;;;;;;;20.0;8.138;27.424;45.94;;4.696;0.27
332;;250.0;;;;;;;20.0;8.136;27.423;45.942;;4.696;0.252
333;;250.0;;;;;;;20.0;8.133;27.426;45.939;;4.694;0.3
334;;250.0;;;;;;;20.0;8.137;27.4;45.942;;4.691;0.252
335;;250.0;;;;;;;20.0;8.132;27.455;45.924;;4.69;0.284
336;;250.0;;;;;;;20.0;8.135;27.465;45.947;;4.694;0.297
337;;250.0;;;;;;;20.0;8.131;27.451;45.93;;4.688;0.247
338;;250.0;;;;;;;20.0;8.143;27.373;45.948;;4.698;0.321
339;;250.0;;;;;;;20.0;8.148;27.451;45.938;;4.698;0.306
340;;250.0;;;;;;;20.0;8.149;27.41;45.943;;4.694;0.277
341;;250.0;;;;;;;20.0;8.149;27.533;45.927;;4.699;0.303
342;;250.0;;;;;;;20.0;8.151;27.456;45.912;;4.697;0.274
343;;250.0;;;;;;;20.0;8.149;27.448;45.921;;4.701;0.493
344;;250.0;;;;;;;20.0;8.147;27.436;45.942;;4.696;0.282
345;;250.0;;;;;;;20.0;8.139;27.441;45.945;;4.697;0.295
346;;250.0;;;;;;;20.0;8.143;27.427;45.939;;4.697;0.274
347;;250.0;;;;;;;20.0;8.148;27.45;45.95;;4.7;0.245
348;;250.0;;;;;;;20.0;8.149;27.418;45.952;;4.702;0.283
349;;250.0;;;;;;;20.0;8.144;27.305;45.914;;4.697;0.376
350;;250.0;;;;;;;20.0;8.15;27.658;45.949;;4.699;0.262
351;;250.0;;;;;;;20.0;8.147;27.433;45.901;;4.694;0.275
352;;250.0;;;;;;;20.0;8.126;27.472;45.909;;4.69;0.299
353;;250.0;;;;;;;20.0;8.124;27.45;45.939;;4.684;0.271
354;;250.0;;;;;;;20.0;8.127;27.487;45.93;;4.69;0.266
355;;250.0;;;;;;;20.0;8.125;27.478;45.932;;4.681;0.283
356;;250.0;;;;;;;20.0;8.127;27.425;45.94;;4.69;0.294
357;;250.0;;;;;;;20.0;8.121;27.462;45.923;;4.684;0.282
358;;250.0;;;;;;;20.0;8.124;27.465;45.924;;4.691;0.292
359;;250.0;;;;;;;20.0;8.121;27.471;45.914;;4.677;0.277
360;;250.0;;;;;;;20.0;8.127;27.465;45.941;;4.689;0.256
361;;250.0;;;;;;;20.0;8.122;27.461;45.925;;4.688;0.288
362;;250.0;;;;;;;20.0;8.126;27.459;45.928;;4.683;0.262
363;;250.0;;;;;;;20.0;8.12;27.495;45.91;;4.681;0.305
364;;250.0;;;;;;;20.0;8.124;27.473;45.92;;4.687;0.285
365;;250.0;;;;;;;20.0;8.124;27.46;45.919;;4.685;0.264
366;;250.0;;;;;;;20.0;8.125;27.455;45.923;;4.688;0.302
367;;250.0;;;;;;;20.0;8.135;27.471;45.933;;4.695;0.282
368;;250.0;;;;;;;20.0;8.139;27.432;45.927;;4.697;0.259
369;;250.0;;;;;;;20.0;8.13;27.431;45.943;;4.692;0.255
370;;250.0;;;;;;;20.0;8.138;27.439;45.927;;4.698;0.282
371;;250.0;;;;;;;20.0;8.136;27.356;45.942;;4.691;0.269
372;;250.0;;;;;;;20.0;8.138;27.403;45.935;;4.698;0.282
373;;250.0;;;;;;;20.0;8.139;27.43;45.899;;4.696;0.269
374;;250.0;;;;;;;20.0;8.142;27.459;45.942;;4.698;0.274
375;;250.0;;;;;;;20.0;8.135;27.36;45.941;;4.693;0.268
376;;250.0;;;;;;;20.0;8.139;27.436;45.904;;4.695;0.276
377;;250.0;;;;;;;20.0;8.14;27.396;45.942;;4.689;0.266
378;;250.0;;;;;;;20.0;8.14;27.351;45.939;;4.695;0.265
379;;250.0;;;;;;;20.0;8.139;27.422;45.918;;4.691;0.287
380;;250.0;;;;;;;20.0;8.14;27.412;45.94;;4.701;0.291
381;;250.0;;;;;;;20.0;8.14;27.355;45.937;;4.692;0.261
382;;250.0;;;;;;;20.0;8.14;27.455;45.93;;4.695;0.271
383;;250.0;;;;;;;20.0;8.14;27.588;45.899;;4.699;0.284
384;;250.0;;;;;;;20.0;8.144;27.443;45.893;;4.7;0.281
385;;250.0;;;;;;;20.0;8.137;27.405;45.917;;4.692;0.257
386;;250.0;;;;;;;20.0;8.146;27.415;45.919;;4.699;0.355
387;;250.0;;;;;;;20.0;8.141;27.445;45.915;;4.698;0.306
388;;250.0;;;;;;;20.0;8.143;27.514;45.929;;4.698;0.302
389;;250.0;;;;;;;20.0;8.138;27.434;45.933;;4.696;0.268
390;;250.0;;;;;;;20.0;8.145;27.432;45.945;;4.695;0.4
391;;250.0;;;;;;;20.0;8.144;27.439;45.927;;4.724;0.297
392;;250.0;;;;;;;20.0;8.149;27.549;45.944;;4.698;0.27
393;;250.0;;;;;;;20.0;8.143;27.297;45.914;;4.69;0.268
394;;250.0;;;;;;;20.0;8.149;27.448;45.927;;4.698;0.282
395;;250.0;;;;;;;20.0;8.145;27.391;45.932;;4.696;0.285
396;;250.0;;;;;;;20.0;8.144;27.418;45.877;;4.696;0.312
397;;250.0;;;;;;;20.0;8.138;27.416;45.902;;4.693;0.308
398;;250.0;;;;;;;20.0;8.145;27.454;45.912;;4.697;0.328
399;;250.0;;;;;;;20.0;8.139;27.46;45.907;;4.689;0.29
400;;250.0;;;;;;;20.0;8.14;27.383;45.901;;4.693;0.29
401;;250.0;;;;;;;20.0;8.137;27.385;45.928;;4.693;0.27
402;;250.0;;;;;;;20.0;8.135;27.363;45.929;;4.69;0.27
403;;250.0;;;;;;;20.0;8.139;27.414;45.924;;4.692;0.275
404;;250.0;;;;;;;20.0;8.131;27.392;45.902;;4.689;0.274
405;;250.0;;;;;;;20.0;8.139;26.881;45.898;;4.696;0.321
406;;250.0;;;;;;;20.0;8.137;27.465;45.936;;4.693;0.292
407;;250.0;;;;;;;20.0;8.131;27.451;45.927;;4.694;0.287
408;;250.0;;;;;;;20.0;8.136;27.371;45.908;;4.692;0.264
409;;250.0;;;;;;;20.0;8.14;27.36;45.932;;4.715;0.292
