Zyklusnummer;Charge;Düsentemperatur;Werkzeugtemperatur;Einspritzgeschwindigkeit;Umschaltpunkt;Nachdruckhöhe;Nachdruckzeit;Staudruck;Kühlzeit;Gewicht;Durchmesser_innen;Durchmesser_außen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_außen
211;22;250;35;14;13,5;600.0;4.0;50;20.0;8.125;;45.897;;4.685;0.521
212;22;250;35;14;13,5;600.0;4.0;50;20.0;8.143;;45.94;;4.684;0.247
213;22;250;35;14;13,5;600.0;4.0;50;20.0;8.136;27.244;45.937;;4.685;0.27
214;22;250;35;14;13,5;600.0;4.0;50;20.0;8.137;27.564;45.917;;4.689;0.309
215;22;250;35;14;13,5;600.0;4.0;50;20.0;8.131;27.453;45.934;;4.683;0.289
216;22;250;35;14;13,5;600.0;4.0;50;20.0;8.139;27.443;45.952;;4.683;0.267
217;22;250;35;14;13,5;600.0;4.0;50;20.0;8.134;27.439;45.929;;4.682;0.308
218;22;250;35;14;13,5;600.0;4.0;50;20.0;8.137;27.419;45.928;;4.689;0.264
219;22;250;35;14;13,5;600.0;4.0;50;20.0;8.134;27.429;45.924;;4.68;0.257
220;22;250;35;14;13,5;600.0;4.0;50;20.0;8.135;27.433;45.902;;4.688;0.275
221;23;250;35;20;13,5;600.0;4.0;50;20.0;8.138;;45.96;;4.685;0.298
222;23;250;35;20;13,5;600.0;4.0;50;20.0;8.132;;45.917;;4.686;0.299
223;23;250;35;20;13,5;600.0;4.0;50;20.0;-0.002;27.72;45.948;;4.692;0.306
224;23;250;35;20;13,5;600.0;4.0;50;20.0;8.137;27.533;45.914;;4.69;0.264
225;23;250;35;20;13,5;600.0;4.0;50;20.0;8.131;28.016;45.959;;4.684;0.297
226;23;250;35;20;13,5;600.0;4.0;50;20.0;8.132;27.449;45.948;;4.69;0.315
227;23;250;35;20;13,5;600.0;4.0;50;20.0;8.134;27.5;45.952;;4.695;0.308
228;23;250;35;20;13,5;600.0;4.0;50;20.0;8.132;27.386;45.927;;4.693;0.325
229;23;250;35;20;13,5;600.0;4.0;50;20.0;8.131;27.449;45.951;;4.693;0.309
230;23;250;35;20;13,5;600.0;4.0;50;20.0;8.133;26.912;45.945;;4.685;0.31
231;24;250;35;16;13;600.0;4.0;50;20.0;8.135;27.268;45.754;;4.695;0.421
232;24;250;35;16;13;600.0;4.0;50;20.0;8.161;27.47;45.787;;4.692;0.403
233;24;250;35;16;13;600.0;4.0;50;20.0;8.161;27.438;45.939;;4.698;0.291
234;24;250;35;16;13;600.0;4.0;50;20.0;8.159;27.436;45.96;;4.691;0.315
235;24;250;35;16;13;600.0;4.0;50;20.0;8.152;27.407;45.946;;4.693;0.292
236;24;250;35;16;13;600.0;4.0;50;20.0;8.156;27.41;45.957;;4.693;0.3
237;24;250;35;16;13;600.0;4.0;50;20.0;8.149;27.466;45.955;;4.703;0.3
238;24;250;35;16;13;600.0;4.0;50;20.0;8.156;27.403;45.917;;4.701;0.216
239;24;250;35;16;13;600.0;4.0;50;20.0;8.156;27.406;45.9;;4.699;0.441
240;24;250;35;16;13;600.0;4.0;50;20.0;8.153;27.417;45.927;;4.701;0.266
241;25;250;35;16;14;600.0;4.0;50;20.0;8.156;27.192;45.747;;4.669;0.334
242;25;250;35;16;14;600.0;4.0;50;20.0;8.13;26.618;45.744;;4.673;0.328
243;25;250;35;16;14;600.0;4.0;50;20.0;8.128;26.339;45.746;;4.677;0.376
244;25;250;35;16;14;600.0;4.0;50;20.0;8.124;27.923;45.941;;4.68;0.339
245;25;250;35;16;14;600.0;4.0;50;20.0;8.121;28.089;45.931;;4.675;0.305
246;25;250;35;16;14;600.0;4.0;50;20.0;8.122;27.489;45.926;;4.671;0.289
247;25;250;35;16;14;600.0;4.0;50;20.0;8.109;27.454;45.928;;4.682;0.321
248;25;250;35;16;14;600.0;4.0;50;20.0;8.12;27.463;45.927;;4.677;0.317
249;25;250;35;16;14;600.0;4.0;50;20.0;8.118;27.457;45.871;;4.682;0.27
250;25;250;35;16;14;600.0;4.0;50;20.0;8.122;27.453;45.91;;4.675;0.309
