;Messzeit;Losnummer;laufenden Z‰hler;OK/N.i.O.;Verantwortliche/r;Nummer;Durchmesser_innen;Durchmesser_auﬂen;Stegbreite_Gelenk;Breite_Lasche;Rundheit_auﬂen
;06.05.2022 10:59:56;;0063;Fehler;;1;26,434;45,896;;4,663;0,247
;06.05.2022 11:00:16;;0064;Fehler;;1;27,791;45,918;;4,678;0,262
;06.05.2022 11:00:43;;0065;Fehler;;1;27,376;45,918;;4,689;0,254
;06.05.2022 11:01:18;;0066;Fehler;;1;27,468;45,914;;4,691;0,285
;06.05.2022 11:01:53;;0067;Fehler;;1;27,479;45,927;;4,689;0,257
;06.05.2022 11:02:28;;0068;Fehler;;1;27,468;45,936;;4,691;0,292
;06.05.2022 11:03:02;;0069;Fehler;;1;27,416;45,928;;4,698;0,244
;06.05.2022 11:03:39;;0070;Fehler;;1;27,468;45,934;;4,691;0,217
;06.05.2022 11:04:14;;0071;Fehler;;1;27,475;45,908;;4,700;0,253
;06.05.2022 11:04:50;;0072;Fehler;;1;27,477;45,926;;4,702;0,260
;06.05.2022 11:05:28;;0073;Fehler;;1;27,581;45,865;;4,694;0,417
;06.05.2022 11:06:03;;0074;Fehler;;1;27,437;45,844;;4,707;0,419
;06.05.2022 11:06:40;;0075;Fehler;;1;27,509;45,860;;4,706;0,441
;06.05.2022 11:07:13;;0076;Fehler;;1;27,391;45,868;;4,707;0,459
;06.05.2022 11:07:49;;0077;Fehler;;1;27,462;45,964;;4,709;0,352
;06.05.2022 11:08:23;;0078;Fehler;;1;27,386;45,934;;4,706;0,353
;06.05.2022 11:09:30;;0079;Fehler;;1;27,368;45,861;;4,692;0,228
;06.05.2022 11:10:06;;0080;Fehler;;1;;45,895;;4,693;0,508
;06.05.2022 11:10:39;;0081;Fehler;;1;;45,832;;4,693;0,551
;06.05.2022 11:11:05;;0082;Fehler;;1;28,150;45,903;;4,688;0,349
;06.05.2022 11:11:32;;0083;Fehler;;1;27,661;45,920;;4,690;0,252
;06.05.2022 11:12:03;;0084;Fehler;;1;27,508;45,923;;4,689;0,258
;06.05.2022 11:12:33;;0085;Fehler;;1;27,414;45,932;;4,695;0,262
;06.05.2022 11:13:04;;0086;Fehler;;1;27,489;45,949;;4,689;0,225
;06.05.2022 11:13:37;;0087;Fehler;;1;27,500;45,954;;4,696;0,224
;06.05.2022 11:14:12;;0088;Fehler;;1;27,551;45,950;;4,697;0,256
;06.05.2022 11:14:47;;0089;Fehler;;1;27,509;45,947;;4,703;0,255
;06.05.2022 11:15:21;;0090;Fehler;;1;27,544;45,937;;4,705;0,322
;06.05.2022 11:16:37;;0091;Fehler;;1;27,362;45,826;;4,704;0,302
;06.05.2022 11:17:24;;0092;Fehler;;1;25,835;45,926;;4,607;0,522
;06.05.2022 11:17:54;;0093;Fehler;;1;;45,937;;4,670;0,173
